"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2019-08-26T06:50:33+00:00","111-7331631-8994603","SH-0237A","B07KWZ5SYZ","X001YTRB77","Homend 3/4"" ID X 100FT High Pressure Braided Clear Flexible Industrial PVC Tubing Heavy Duty UV Chemical Resistant Vinyl Hose Water (3/4"" ID X 100FT)","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR776807132",
"2019-08-26T04:53:31+00:00","114-2505592-4125019","JK-0284","B07L4S8JTX","X001Z4J0MZ","Homend Adjustable Dog Wheelchair (M), Weight 33 to 55 lbs, Hip Height:16""-20"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash (M)","1","TUS1","SELLABLE","SWITCHEROO","Unit returned to inventory","LPNPM038732292","I need a bigger version"
"2019-08-26T00:05:04+00:00","112-3737165-3912261","AB-0296","B07L53VM8P","X001Z3JDEV","Homend Laminate Wood Flooring Installation Kit with Tapping Block, Pull Bar, Mallet and 30 Spacers","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR784154878",
"2019-08-25T22:56:40+00:00","114-7427888-2953814","CA-0358","B07DCQSZHK","X001SLQ6Q3","DasMarine 2000 GPH 12v Boat Marine Plumbing Electric Bilge Pump 1 1/8""(29MM) Outlet 8.5AMP","1","LAS2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR743726922",
"2019-08-25T20:54:25+00:00","702-5119032-8641843","SH-0273B6","B07FC7MXT1","X001TXD3MP","Homend Rope Toys Puppy Chew Toys Set of 10, Dog Cotton Rope Knot Toys and Dog Ball for Small Medium Large Breeds, Nature Teething Toy for Dental Healt","1","YYZ1","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNN265876136",
"2019-08-25T17:13:19+00:00","113-1185418-5602632","JK-0284","B07L4S8JTX","X001Z4J0MZ","Homend Adjustable Dog Wheelchair (M), Weight 33 to 55 lbs, Hip Height:16""-20"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash (M)","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM045860341",
"2019-08-25T15:29:47+00:00","111-7820657-7831401","YI-0383A","B07MLNDX1X","X00202CB8L","DasMarine Heavy Duty 4 Steps Boat Marine Sport/Diver Ladder 316 Stainless Steel Dual Vertical Telescoping Tube with 2.5"" Transom Mounting Extension Sh","1","TUS1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPM038821511",
"2019-08-25T14:54:15+00:00","112-6704459-1837054","LU-0012-BU","B07FP8V4HZ","X001U9M6NP","DasMarine 12V 1/2'' NPT Underwater Brass 4 LED Drain Plug Light M12 x 1.5 Marine Underwater Blue LED Light Boat","1","LEX1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR789267650",
"2019-08-25T08:47:09+00:00","111-5894891-4177049","LU-0056","B07PY2LDCG","X00220JPUX","DasMarine Universal Outboard Teak Wooden Swim Platform Under Mount Fold Down 2 Step 316 Stainless Steel Ladder with Single Handrail(Mounting Screws ar","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM041978240",
"2019-08-25T02:38:13+00:00","113-6346149-2553022","CA-0295","B07DCPMP4S","X001V39X7R","DasMarine 12V 60W Oil Change Pump Extractor, Oil/Diesel Fluid Pump Extractor Scavenge Oil Change Pump Transfer Suction Transfer Pump + Tubes Truck Rv","1","LEX2","DEFECTIVE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNRR784122467","Ran the pump for 15 minutes and got maybe a quarter of a quart of oil out of the sump. Not even close to what was described."
"2019-08-25T00:15:55+00:00","113-7606564-1069805","SA-0041","B07M6Z1CGR","X002021CDV","Homend Luxury 4+6 Automatic Watch Winder Deluxe Wooden Dual Automatic Motor Rotating Watches Display Storage Box","1","TUS1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPM038288991","I made a mistake. I didn't notice it didn't have led lights."
"2019-08-25T00:04:18+00:00","113-5725027-6967405","AB-0406","B07MM9K6K3","X0020LEVWB","Homend High Speed 150g Electric Grain Mill Grinder Powder Machine Spice Herb Grinder 850W 70-300 Mesh 28000RPM Stainless Steel Commercial Grade for Ki","1","LEX2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRR783555898","Doesnt work/broken"
"2019-08-24T19:29:50+00:00","111-4311299-4111414","DS-0039","B07D29WV92","X001S6JMAZ","DasMarine 1.5"" Sanitary Sight Glass In-Line Sight Glass with Clamp End, Flow Sanitary Straight Sight Glass Tri-clamp Stainless Steel SS304 ( 1.5"" OD:5","1","LAS2","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR744054893","Did not say anything about needing special hardware to place"
"2019-08-24T17:10:20+00:00","701-9939206-7161802","JL-0028F2","B07GS33XYJ","X001VE1L5D","Homend 24 Slot PU Leather Watch Box/Watch Case/Jewelry Display Storage Organizer Box with Key&Lock, Glass Top","1","YVR3","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN251340515",
"2019-08-24T16:25:04+00:00","702-7856354-1513035","GR-0120F2","B07MSCYWQP","X0020IHETV","Homend Barn Door Floor Guide Stay Roller, Fully Adjustable Black Powder Coated with 8 Different Setups, Flush with Floor Wall Mount Bracket, Perfect F","1","YYZ1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN258528780",
"2019-08-24T16:25:04+00:00","702-7856354-1513035","GR-0120F2","B07MSCYWQP","X0020IHETV","Homend Barn Door Floor Guide Stay Roller, Fully Adjustable Black Powder Coated with 8 Different Setups, Flush with Floor Wall Mount Bracket, Perfect F","1","YYZ1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN258528781",
"2019-08-24T15:19:56+00:00","701-4136130-0373031","DS-0124-40F2","B07KVT2T2W","X001YR0HIJ","Homend 40Pack Stainless Steel Kitchen Cabinet Handles T Bar Pull; Kitchen Cabinet Hardware, Dresser Drawer Handles (6"" Overall Length;Hole Centers:3-3","1","YYC1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN277716603",
"2019-08-24T13:01:11+00:00","114-1570731-0707447","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR750062084",
"2019-08-24T12:36:20+00:00","111-6112302-5551456","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR789437838",
"2019-08-24T12:00:46+00:00","113-7674680-0169050","YI-0382","B07GRTR4FN","X001VDY8S1","DasMarine Heavy Duty 3 Steps Boat Marine Sport/Diver Ladder 316 Stainless Steel Dual Vertical Telescoping Tube with 2.5"" Transom Mounting Extension Sh","1","LEX2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRR783362582","does not work for my boat."
"2019-08-24T11:50:12+00:00","114-3247215-7525064","CA-0357","B07DCQDD4K","X001SLRDPL","DasMarine12V 750GPH Multi Port Marine Boat Shower Sump Pump Drain Kit System","1","LAS2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR748652392",
"2019-08-24T08:30:42+00:00","111-2470938-2506657","YI-0368A","B07QB6H5ZM","X0023S5AK3","DasMarine 24"" Anodized Aluminum Mounting Track for Rod Holders, Downriggers and Other Components for Trolling Fishing (24 Inch. Length)","1","CVG2","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRR769617857","item is not what I expected it to be ."
